COUNTRY,QTA_EVASA_TOTALE,DESCRIZIONE1
MEXICO,8.0,BOCCOLA AUTOFILETTANTE
USA,8.0,BOCCOLA AUTOFILETTANTE
Brazil,14.0,CARTUCCIA LUBRIFICANTE
COLOMBIA,12.0,CARTUCCIA LUBRIFICANTE
Iraq,7.0,CARTUCCIA LUBRIFICANTE
Benin,6.0,CARTUCCIA LUBRIFICANTE
India,6.0,CARTUCCIA LUBRIFICANTE
Bulgaria,4.0,CUSCINETTO ASSIALE RULLINI
MOROCCO,4.0,CUSCINETTO ASSIALE RULLINI
COLOMBIA,1.0,CUSCINETTO ASSIALE RULLINI
AFGHANISTAN,0.0,CUSCINETTO ASSIALE RULLINI
ALBANIA,0.0,CUSCINETTO ASSIALE RULLINI
UGANDA,20.0,GRUPPO SUPPORTO FONDELLO
EGYPT,15.0,GRUPPO SUPPORTO FONDELLO
ALGERIA,14.0,GRUPPO SUPPORTO FONDELLO
COSTA RICA,12.0,GRUPPO SUPPORTO FONDELLO
MEXICO,12.0,GRUPPO SUPPORTO FONDELLO
Iraq,1084.0,PRESA PREFORME 29/25
ALGERIA,1074.0,PRESA PREFORME 29/25
UGANDA,849.0,PRESA PREFORME 29/25
YEMEN,722.0,PRESA PREFORME 29/25
Saudi Arabia,720.0,PRESA PREFORME 29/25
COLOMBIA,44.0,TUBO FLESSIBILE
Benin,30.0,TUBO FLESSIBILE
Iraq,21.0,TUBO FLESSIBILE
India,15.0,TUBO FLESSIBILE
MOROCCO,14.0,TUBO FLESSIBILE
BAHRAIN,12192.0,CATENA CERNIERA DOPPIA
TUNISIA,12192.0,CATENA CERNIERA DOPPIA
MALAYSIA,2.0,CATENA CERNIERA DOPPIA
AFGHANISTAN,0.0,CATENA CERNIERA DOPPIA
ALBANIA,0.0,CATENA CERNIERA DOPPIA
Iraq,12.0,GRUPPO BORDO NASTRI
TAIWAN R.O.C.,10.0,GRUPPO BORDO NASTRI
MEXICO,4.0,GRUPPO BORDO NASTRI
BAHRAIN,3.0,GRUPPO BORDO NASTRI
CANADA,2.0,GRUPPO BORDO NASTRI
Spain,12.0,GRUPPO SECONDARIO
TUNISIA,5.0,GRUPPO SECONDARIO
BAHRAIN,2.0,GRUPPO SECONDARIO
ITALY,2.0,GRUPPO SECONDARIO
MEXICO,2.0,GRUPPO SECONDARIO
PHILIPPINES,14.0,RUOTA RINVIO PER CAT. CURVILINEA
YEMEN,14.0,RUOTA RINVIO PER CAT. CURVILINEA
BAHRAIN,2.0,RUOTA RINVIO PER CAT. CURVILINEA
CHINA,2.0,RUOTA RINVIO PER CAT. CURVILINEA
TUNISIA,2.0,RUOTA RINVIO PER CAT. CURVILINEA
Benin,20.0,CAPOCORDA PROTETTO
COLOMBIA,10.0,CAPOCORDA PROTETTO
AFGHANISTAN,0.0,CAPOCORDA PROTETTO
ALBANIA,0.0,CAPOCORDA PROTETTO
ALGERIA,0.0,CAPOCORDA PROTETTO
Iraq,3.0,GRUPPO LUBRIFICAZIONE
Benin,2.0,GRUPPO LUBRIFICAZIONE
KENYA,2.0,GRUPPO LUBRIFICAZIONE
ALGERIA,1.0,GRUPPO LUBRIFICAZIONE
AFGHANISTAN,0.0,GRUPPO LUBRIFICAZIONE
RUSSIAN FEDERATION,148.0,"GRUPPO MANDRINO PASSO 44,82"
Qatar,10.0,"GRUPPO MANDRINO PASSO 44,82"
Benin,5.0,"GRUPPO MANDRINO PASSO 44,82"
POLAND,5.0,"GRUPPO MANDRINO PASSO 44,82"
COLOMBIA,3.0,"GRUPPO MANDRINO PASSO 44,82"
Portugal,24.0,GRUPPO STRUTTURA
MOROCCO,16.0,GRUPPO STRUTTURA
Canary Islands,4.0,GRUPPO STRUTTURA
Qatar,4.0,GRUPPO STRUTTURA
Benin,3.0,GRUPPO STRUTTURA
Benin,1.0,GRUPPO TRASMISSIONE
AFGHANISTAN,0.0,GRUPPO TRASMISSIONE
ALBANIA,0.0,GRUPPO TRASMISSIONE
ALGERIA,0.0,GRUPPO TRASMISSIONE
ANDORRA,0.0,GRUPPO TRASMISSIONE
PHILIPPINES,226.0,GRUPPO VALVOLA
FRANCE,25.0,GRUPPO VALVOLA
MEXICO,19.0,GRUPPO VALVOLA
Cambodia,11.0,GRUPPO VALVOLA
GEORGIA,5.0,GRUPPO VALVOLA
Ghana,48.0,GUIDA CON CARRELLO
UNITED KINGDOM,34.0,GUIDA CON CARRELLO
RUSSIAN FEDERATION,24.0,GUIDA CON CARRELLO
Brazil,19.0,GUIDA CON CARRELLO
Benin,16.0,GUIDA CON CARRELLO
Benin,10.0,LUBRIFICATORE
TANZANIA,8.0,LUBRIFICATORE
South Africa,3.0,LUBRIFICATORE
Israel,2.0,LUBRIFICATORE
Islamic Republic of Iran,1.0,LUBRIFICATORE
USA,20.0,GRUPPO QUADRO FORNO
Bolivia,8.0,GRUPPO QUADRO FORNO
EL SALVADOR,8.0,GRUPPO QUADRO FORNO
Norway,8.0,GRUPPO QUADRO FORNO
Saudi Arabia,8.0,GRUPPO QUADRO FORNO
USA,34.0,PIEDE SNODATO
CANADA,14.0,PIEDE SNODATO
Mozambique,10.0,PIEDE SNODATO
ITALY,6.0,PIEDE SNODATO
Bolivia,4.0,PIEDE SNODATO
MEXICO,30.0,POMPA
PHILIPPINES,23.0,POMPA
Spain,14.0,POMPA
Norway,13.0,POMPA
MALAYSIA,12.0,POMPA
Spain,56.0,SOSTEGNO
FRANCE,47.0,SOSTEGNO
EGYPT,42.0,SOSTEGNO
CROATIA,32.0,SOSTEGNO
THAILAND,32.0,SOSTEGNO
CHINA,22.0,ALBERO QUADRO
USA,9.0,ALBERO QUADRO
Lebanon,5.0,ALBERO QUADRO
MEXICO,5.0,ALBERO QUADRO
PERU,5.0,ALBERO QUADRO
PAKISTAN,7.0,CAMPANA
Brazil,4.0,CAMPANA
MEXICO,4.0,CAMPANA
Netherlands,4.0,CAMPANA
Serbia,2.0,CAMPANA
ITALY,15243.0,CATENA CERNIERA RETTILINEA
ALGERIA,12192.0,CATENA CERNIERA RETTILINEA
DENMARK,6096.0,CATENA CERNIERA RETTILINEA
ECUADOR,6096.0,CATENA CERNIERA RETTILINEA
Serbia,48.0,CATENA CERNIERA RETTILINEA
MEXICO,24.0,CPU
TRINIDAD AND TOBAGO,9.0,CPU
UNITED KINGDOM,8.0,CPU
RUSSIAN FEDERATION,5.0,CPU
TURKEY,5.0,CPU
Slovenia,80.0,FUNE
USA,62.0,FUNE
ITALY,37.0,FUNE
JAMAICA,29.0,FUNE
Libya,18.0,FUNE
Indonesia,16.0,GRUPPO AVANZAMENTO CARTONE
Brazil,2.0,GRUPPO AVANZAMENTO CARTONE
CANADA,2.0,GRUPPO AVANZAMENTO CARTONE
Kuwait,2.0,GRUPPO AVANZAMENTO CARTONE
USA,2.0,GRUPPO AVANZAMENTO CARTONE
ROMANIA,4.0,GRUPPO DIVISORE FILM
USA,4.0,GRUPPO DIVISORE FILM
Brazil,2.0,GRUPPO DIVISORE FILM
MEXICO,2.0,GRUPPO DIVISORE FILM
South Africa,2.0,GRUPPO DIVISORE FILM
PHILIPPINES,6.0,GRUPPO PORTASTAMPO
India,5.0,GRUPPO PORTASTAMPO
POLAND,4.0,GRUPPO PORTASTAMPO
"Congo, Republic of",3.0,GRUPPO PORTASTAMPO
RUSSIAN FEDERATION,3.0,GRUPPO PORTASTAMPO
Brazil,2.0,GRUPPO PROTEZIONE
FRANCE,1.0,GRUPPO PROTEZIONE
AFGHANISTAN,0.0,GRUPPO PROTEZIONE
ALBANIA,0.0,GRUPPO PROTEZIONE
ALGERIA,0.0,GRUPPO PROTEZIONE
CHINA,114.0,LAMPADA
USA,86.0,LAMPADA
MEXICO,46.0,LAMPADA
ITALY,33.0,LAMPADA
ECUADOR,28.0,LAMPADA
MALAYSIA,3.0,MARTS (PROG.)
Brazil,1.0,MARTS (PROG.)
Indonesia,1.0,MARTS (PROG.)
MEXICO,1.0,MARTS (PROG.)
AFGHANISTAN,0.0,MARTS (PROG.)
MEXICO,136.0,PIASTRA
YEMEN,102.0,PIASTRA
Germany,26.0,PIASTRA
MOROCCO,24.0,PIASTRA
MALDIVES,22.0,PIASTRA
MEXICO,4.0,PIGNONE TRIPLO
Brazil,2.0,PIGNONE TRIPLO
MALAYSIA,2.0,PIGNONE TRIPLO
Chile,1.0,PIGNONE TRIPLO
PAKISTAN,1.0,PIGNONE TRIPLO
POLAND,263.0,PRESA PREFORME 38mm - 2P
PHILIPPINES,146.0,PRESA PREFORME 38mm - 2P
Switzerland,12.0,PRESA PREFORME 38mm - 2P
Brazil,3.0,PRESA PREFORME 38mm - 2P
AFGHANISTAN,0.0,PRESA PREFORME 38mm - 2P
KENYA,606.0,PRESA PREFORME PCO/BPF/267Novembal
Iraq,197.0,PRESA PREFORME PCO/BPF/267Novembal
Cape Verde,192.0,PRESA PREFORME PCO/BPF/267Novembal
MOROCCO,166.0,PRESA PREFORME PCO/BPF/267Novembal
ITALY,164.0,PRESA PREFORME PCO/BPF/267Novembal
VIETNAM,22.0,RUOTA DENTATA CILINDRICA + MOZZO
Germany,7.0,RUOTA DENTATA CILINDRICA + MOZZO
YEMEN,6.0,RUOTA DENTATA CILINDRICA + MOZZO
COLOMBIA,4.0,RUOTA DENTATA CILINDRICA + MOZZO
Brazil,2.0,RUOTA DENTATA CILINDRICA + MOZZO
Brazil,8.0,SILICONE ESPANSO
AFGHANISTAN,0.0,SILICONE ESPANSO
ALBANIA,0.0,SILICONE ESPANSO
ALGERIA,0.0,SILICONE ESPANSO
ANDORRA,0.0,SILICONE ESPANSO
ITALY,22.0,SILICONE ESPANSO ADESIVO
USA,19.5,SILICONE ESPANSO ADESIVO
UNITED KINGDOM,18.0,SILICONE ESPANSO ADESIVO
Spain,11.0,SILICONE ESPANSO ADESIVO
GUATEMALA,7.199999999999999,SILICONE ESPANSO ADESIVO
Brazil,8.0,TAMPONE
ITALY,3.0,TAMPONE
GEORGIA,1.0,TAMPONE
AFGHANISTAN,0.0,TAMPONE
ALBANIA,0.0,TAMPONE
Islamic Republic of Iran,9.0,VARIATORE
Qatar,4.0,VARIATORE
Spain,2.0,VARIATORE
Brazil,1.0,VARIATORE
Oman,1.0,VARIATORE
Sudan,104.0,CAPPUCCIO SGANCIO PREF. 38 Bericap
South Africa,72.0,CAPPUCCIO SGANCIO PREF. 38 Bericap
Israel,71.0,CAPPUCCIO SGANCIO PREF. 38 Bericap
Belarus,10.0,CAPPUCCIO SGANCIO PREF. 38 Bericap
MOROCCO,5.0,CAPPUCCIO SGANCIO PREF. 38 Bericap
MOROCCO,10.0,"GRUPPO MANDRINO PASSO 54,06"
Ireland,8.0,"GRUPPO MANDRINO PASSO 54,06"
Belarus,2.0,"GRUPPO MANDRINO PASSO 54,06"
PHILIPPINES,2.0,"GRUPPO MANDRINO PASSO 54,06"
Canary Islands,1.0,"GRUPPO MANDRINO PASSO 54,06"
USA,6.0,AUTOTRASFORMATORE
Islamic Republic of Iran,4.0,AUTOTRASFORMATORE
CANADA,2.0,AUTOTRASFORMATORE
FRANCE,2.0,AUTOTRASFORMATORE
AFGHANISTAN,0.0,AUTOTRASFORMATORE
ALGERIA,9.0,BARRIERA OTTICA
THAILAND,4.0,BARRIERA OTTICA
USA,3.0,BARRIERA OTTICA
COSTA RICA,2.0,BARRIERA OTTICA
"Lao, People's Dem. Rep.",2.0,BARRIERA OTTICA
SAINT LUCIA,6.0,BOBINA SGANCIO
USA,6.0,BOBINA SGANCIO
JAMAICA,4.0,BOBINA SGANCIO
CHINA,2.0,BOBINA SGANCIO
Lebanon,2.0,BOBINA SGANCIO
Sudan,10.0,BOCCOLA A PRESSARE
Islamic Republic of Iran,2.0,BOCCOLA A PRESSARE
CANADA,1.0,BOCCOLA A PRESSARE
Chile,1.0,BOCCOLA A PRESSARE
AFGHANISTAN,0.0,BOCCOLA A PRESSARE
MALDIVES,4.0,COLLETTORE
PHILIPPINES,3.0,COLLETTORE
MOROCCO,2.0,COLLETTORE
ALGERIA,1.0,COLLETTORE
CANADA,1.0,COLLETTORE
Cape Verde,920.0,DADO
YEMEN,520.0,DADO
PHILIPPINES,296.0,DADO
MEXICO,225.0,DADO
Norway,173.0,DADO
South Africa,160.0,DISCO
MALDIVES,74.0,DISCO
CANADA,45.0,DISCO
PHILIPPINES,22.0,DISCO
Qatar,15.0,DISCO
ITALY,30.0,FILTRO ROHS
CANADA,24.0,FILTRO ROHS
AFGHANISTAN,0.0,FILTRO ROHS
ALBANIA,0.0,FILTRO ROHS
ALGERIA,0.0,FILTRO ROHS
RUSSIAN FEDERATION,2.0,GRUPPO AGGIORNAMENTO (PROG.)
CANADA,1.0,GRUPPO AGGIORNAMENTO (PROG.)
AFGHANISTAN,0.0,GRUPPO AGGIORNAMENTO (PROG.)
ALBANIA,0.0,GRUPPO AGGIORNAMENTO (PROG.)
ALGERIA,0.0,GRUPPO AGGIORNAMENTO (PROG.)
Indonesia,160.0,GRUPPO FACCHINI
USA,100.0,GRUPPO FACCHINI
CHINA,40.0,GRUPPO FACCHINI
ITALY,30.0,GRUPPO FACCHINI
Norway,20.0,GRUPPO FACCHINI
COLOMBIA,11.0,GRUPPO INTRODUTTORE
CANADA,3.0,GRUPPO INTRODUTTORE
TURKEY,1.0,GRUPPO INTRODUTTORE
USA,1.0,GRUPPO INTRODUTTORE
AFGHANISTAN,0.0,GRUPPO INTRODUTTORE
UNITED KINGDOM,32.0,GRUPPO PRESSETTA
USA,12.0,GRUPPO PRESSETTA
MOROCCO,10.0,GRUPPO PRESSETTA
MEXICO,9.0,GRUPPO PRESSETTA
Portugal,8.0,GRUPPO PRESSETTA
UZBEKISTAN,15.0,PRESSACAVO
Islamic Republic of Iran,8.0,PRESSACAVO
CANADA,6.0,PRESSACAVO
MALAYSIA,2.0,PRESSACAVO
RUSSIAN FEDERATION,2.0,PRESSACAVO
CANADA,1.0,PROTEZIONE MOBILE
AFGHANISTAN,0.0,PROTEZIONE MOBILE
ALBANIA,0.0,PROTEZIONE MOBILE
ALGERIA,0.0,PROTEZIONE MOBILE
ANDORRA,0.0,PROTEZIONE MOBILE
RUSSIAN FEDERATION,580.0,RULLIERA
NICARAGUA,316.0,RULLIERA
CHINA,304.0,RULLIERA
VIETNAM,271.0,RULLIERA
USA,207.0,RULLIERA
CANADA,4.0,TAPPO RETTANGOLARE
AFGHANISTAN,0.0,TAPPO RETTANGOLARE
ALBANIA,0.0,TAPPO RETTANGOLARE
ALGERIA,0.0,TAPPO RETTANGOLARE
ANDORRA,0.0,TAPPO RETTANGOLARE
"Lao, People's Dem. Rep.",30.0,TERMINALE
USA,30.0,TERMINALE
JAMAICA,12.0,TERMINALE
VIETNAM,12.0,TERMINALE
CANADA,10.0,TERMINALE
CANADA,400.0,TUBETTO
UZBEKISTAN,50.0,TUBETTO
USA,8.0,TUBETTO
Islamic Republic of Iran,1.0,TUBETTO
AFGHANISTAN,0.0,TUBETTO
Portugal,32.0,VITE TCEI AUTOFORMANTE
CANADA,10.0,VITE TCEI AUTOFORMANTE
AFGHANISTAN,0.0,VITE TCEI AUTOFORMANTE
ALBANIA,0.0,VITE TCEI AUTOFORMANTE
ALGERIA,0.0,VITE TCEI AUTOFORMANTE
Cape Verde,1.0,COMPRESSORE
Democratic Rep. of the Congo,1.0,COMPRESSORE
MALDIVES,1.0,COMPRESSORE
AFGHANISTAN,0.0,COMPRESSORE
ALBANIA,0.0,COMPRESSORE
PERU,36.0,GRUPPO TAPPETO SEPARATORE
MEXICO,31.0,GRUPPO TAPPETO SEPARATORE
Islamic Republic of Iran,20.0,GRUPPO TAPPETO SEPARATORE
TUNISIA,17.0,GRUPPO TAPPETO SEPARATORE
Chile,13.0,GRUPPO TAPPETO SEPARATORE
ROMANIA,64.0,GRUPPO FONDELLO
Ivory Coast,6.0,GRUPPO FONDELLO
URUGUAY,3.0,GRUPPO FONDELLO
Canary Islands,2.0,GRUPPO FONDELLO
"Congo, Republic of",1.0,GRUPPO FONDELLO
Oman,12.0,GRUPPO STAMPO SF
"Congo, Republic of",3.0,GRUPPO STAMPO SF
MOROCCO,2.0,GRUPPO STAMPO SF
Saudi Arabia,1.0,GRUPPO STAMPO SF
AFGHANISTAN,0.0,GRUPPO STAMPO SF
UGANDA,12.0,STAMPO CORPO
RUSSIAN FEDERATION,9.0,STAMPO CORPO
Qatar,6.0,STAMPO CORPO
Kuwait,5.0,STAMPO CORPO
South Africa,5.0,STAMPO CORPO
"Congo, Republic of",4.0,VITE TCIT
Lithuania,3.0,VITE TCIT
AFGHANISTAN,0.0,VITE TCIT
ALBANIA,0.0,VITE TCIT
ALGERIA,0.0,VITE TCIT
PHILIPPINES,252984.0,CATENA CERNIERA SINGOLA
Cape Verde,201168.0,CATENA CERNIERA SINGOLA
CHINA,24408.0,CATENA CERNIERA SINGOLA
Ireland,12192.0,CATENA CERNIERA SINGOLA
TUNISIA,6116.0,CATENA CERNIERA SINGOLA
PHILIPPINES,8.0,DISPLAY
Ivory Coast,3.0,DISPLAY
MEXICO,2.0,DISPLAY
Iraq,1.0,DISPLAY
Qatar,1.0,DISPLAY
Spain,4.0,ISOLA DIGITALE
Switzerland,1.0,ISOLA DIGITALE
AFGHANISTAN,0.0,ISOLA DIGITALE
ALBANIA,0.0,ISOLA DIGITALE
ALGERIA,0.0,ISOLA DIGITALE
MOROCCO,18.0,RETE
Switzerland,1.0,RETE
AFGHANISTAN,0.0,RETE
ALBANIA,0.0,RETE
ALGERIA,0.0,RETE
Saudi Arabia,30.0,DISTANZIALE VARIABILE
Ivory Coast,9.0,DISTANZIALE VARIABILE
Israel,8.0,DISTANZIALE VARIABILE
ALGERIA,4.0,DISTANZIALE VARIABILE
Qatar,2.0,DISTANZIALE VARIABILE
POLAND,24.0,"GRUPPO MANDRINO PASSO 36,5"
ETHIOPIA,10.0,"GRUPPO MANDRINO PASSO 36,5"
UNITED KINGDOM,10.0,"GRUPPO MANDRINO PASSO 36,5"
Ghana,5.0,"GRUPPO MANDRINO PASSO 36,5"
Iraq,5.0,"GRUPPO MANDRINO PASSO 36,5"
Portugal,72.0,PATTINO
PHILIPPINES,40.0,PATTINO
Ivory Coast,36.0,PATTINO
MALDIVES,36.0,PATTINO
TURKEY,14.0,PATTINO
MALAYSIA,19.0,CATENA TRIPLA
MEXICO,10.0,CATENA TRIPLA
TUNISIA,5.0,CATENA TRIPLA
Chile,2.0,CATENA TRIPLA
KYRGYZSTAN,2.0,CATENA TRIPLA
Chile,4.0,COLTELLO
Jordan,3.0,COLTELLO
ECUADOR,2.0,COLTELLO
Libya,2.0,COLTELLO
COLOMBIA,1.0,COLTELLO
MEXICO,4.0,CORONA TRIPLA
Chile,1.0,CORONA TRIPLA
AFGHANISTAN,0.0,CORONA TRIPLA
ALBANIA,0.0,CORONA TRIPLA
ALGERIA,0.0,CORONA TRIPLA
South Africa,6.0,GRUPPO NASTRINI REGOLABILI SPECIALE
Chile,1.0,GRUPPO NASTRINI REGOLABILI SPECIALE
AFGHANISTAN,0.0,GRUPPO NASTRINI REGOLABILI SPECIALE
ALBANIA,0.0,GRUPPO NASTRINI REGOLABILI SPECIALE
ALGERIA,0.0,GRUPPO NASTRINI REGOLABILI SPECIALE
MALAYSIA,2.0,GRUPPO TAPPETO ENTRATA
Chile,1.0,GRUPPO TAPPETO ENTRATA
AFGHANISTAN,0.0,GRUPPO TAPPETO ENTRATA
ALBANIA,0.0,GRUPPO TAPPETO ENTRATA
ALGERIA,0.0,GRUPPO TAPPETO ENTRATA
Dominican Republic,16.0,PORTA PIOLI
MEXICO,8.0,PORTA PIOLI
Saudi Arabia,8.0,PORTA PIOLI
USA,8.0,PORTA PIOLI
CHINA,4.0,PORTA PIOLI
MEXICO,140.0,VITE TEF
USA,136.0,VITE TEF
Germany,80.0,VITE TEF
ROMANIA,80.0,VITE TEF
POLAND,74.0,VITE TEF
CHINA,24.0,CATENA CERNIERA CURVILINEA
Libya,2.0,CATENA CERNIERA CURVILINEA
AFGHANISTAN,0.0,CATENA CERNIERA CURVILINEA
ALBANIA,0.0,CATENA CERNIERA CURVILINEA
ALGERIA,0.0,CATENA CERNIERA CURVILINEA
USA,91.0,CATENA PORTACAVI
UNITED KINGDOM,20.0,CATENA PORTACAVI
GUATEMALA,19.6,CATENA PORTACAVI
CHINA,15.0,CATENA PORTACAVI
MEXICO,13.0,CATENA PORTACAVI
MEXICO,104.0,CERNIERA
UNITED KINGDOM,60.0,CERNIERA
TUNISIA,12.0,CERNIERA
POLAND,10.0,CERNIERA
ROMANIA,8.0,CERNIERA
UZBEKISTAN,15.0,CONTRODADO
CHINA,1.0,CONTRODADO
AFGHANISTAN,0.0,CONTRODADO
ALBANIA,0.0,CONTRODADO
ALGERIA,0.0,CONTRODADO
Spain,6.0,GRUPPO INNESTO
CHINA,5.0,GRUPPO INNESTO
MALAYSIA,4.0,GRUPPO INNESTO
POLAND,4.0,GRUPPO INNESTO
ITALY,3.0,GRUPPO INNESTO
MOROCCO,100.0,"GRUPPO MANDRINO PASSO 42,5 - 53,7"
PHILIPPINES,45.0,"GRUPPO MANDRINO PASSO 42,5 - 53,7"
Iraq,21.0,"GRUPPO MANDRINO PASSO 42,5 - 53,7"
Qatar,17.0,"GRUPPO MANDRINO PASSO 42,5 - 53,7"
ZAMBIA,15.0,"GRUPPO MANDRINO PASSO 42,5 - 53,7"
CHINA,8.0,GRUPPO METTIALVEOLI
Spain,2.0,GRUPPO METTIALVEOLI
AFGHANISTAN,0.0,GRUPPO METTIALVEOLI
ALBANIA,0.0,GRUPPO METTIALVEOLI
ALGERIA,0.0,GRUPPO METTIALVEOLI
UNITED KINGDOM,12.0,GRUPPO PIEGA ALETTE
ITALY,8.0,GRUPPO PIEGA ALETTE
CHINA,7.0,GRUPPO PIEGA ALETTE
Indonesia,4.0,GRUPPO PIEGA ALETTE
MOROCCO,4.0,GRUPPO PIEGA ALETTE
CHINA,227.0,PALETTA
ITALY,74.0,PALETTA
USA,63.0,PALETTA
Palestinian Territory,56.0,PALETTA
Spain,44.0,PALETTA
MOROCCO,16.0,PINZA DX
Spain,16.0,PINZA DX
Canary Islands,14.0,PINZA DX
ITALY,12.0,PINZA DX
Libya,10.0,PINZA DX
MOROCCO,16.0,PINZA SX
Spain,16.0,PINZA SX
Canary Islands,14.0,PINZA SX
ITALY,12.0,PINZA SX
Netherlands,10.0,PINZA SX
USA,12.0,POMPA PER VUOTO
Spain,4.0,POMPA PER VUOTO
FRANCE,3.0,POMPA PER VUOTO
Jordan,3.0,POMPA PER VUOTO
Israel,2.0,POMPA PER VUOTO
CHINA,8.0,PULSANTIERA
UNITED KINGDOM,2.0,PULSANTIERA
USA,2.0,PULSANTIERA
GUYANA,1.0,PULSANTIERA
Kuwait,1.0,PULSANTIERA
PHILIPPINES,14.0,RUOTA TRAINO PER CAT. CURVILINEA
YEMEN,14.0,RUOTA TRAINO PER CAT. CURVILINEA
Libya,6.0,RUOTA TRAINO PER CAT. CURVILINEA
CHINA,2.0,RUOTA TRAINO PER CAT. CURVILINEA
TUNISIA,2.0,RUOTA TRAINO PER CAT. CURVILINEA
YEMEN,39.0,RUOTA TRAINO PER CAT. RETTILINEA
PHILIPPINES,12.0,RUOTA TRAINO PER CAT. RETTILINEA
TUNISIA,7.0,RUOTA TRAINO PER CAT. RETTILINEA
Cape Verde,3.0,RUOTA TRAINO PER CAT. RETTILINEA
CHINA,2.0,RUOTA TRAINO PER CAT. RETTILINEA
RUSSIAN FEDERATION,8.0,SCHEDA ROHS
CHINA,4.0,SCHEDA ROHS
Lebanon,1.0,SCHEDA ROHS
POLAND,1.0,SCHEDA ROHS
TURKEY,1.0,SCHEDA ROHS
USA,16.0,TENDITORE
CHINA,3.0,TENDITORE
AFGHANISTAN,0.0,TENDITORE
ALBANIA,0.0,TENDITORE
ALGERIA,0.0,TENDITORE
Greece,12.0,TUBO AL SILICONE
CHINA,6.0,TUBO AL SILICONE
AFGHANISTAN,0.0,TUBO AL SILICONE
ALBANIA,0.0,TUBO AL SILICONE
ALGERIA,0.0,TUBO AL SILICONE
UNITED KINGDOM,2.0,CONTENITORE
COLOMBIA,1.0,CONTENITORE
POLAND,1.0,CONTENITORE
AFGHANISTAN,0.0,CONTENITORE
ALBANIA,0.0,CONTENITORE
MOROCCO,5.0,GRUPPO DISTRIBUZIONE ACQUA
COLOMBIA,2.0,GRUPPO DISTRIBUZIONE ACQUA
India,1.0,GRUPPO DISTRIBUZIONE ACQUA
KENYA,1.0,GRUPPO DISTRIBUZIONE ACQUA
Libya,1.0,GRUPPO DISTRIBUZIONE ACQUA
Qatar,8.0,GUSCIO
YEMEN,6.0,GUSCIO
Germany,3.0,GUSCIO
COLOMBIA,2.0,GUSCIO
ITALY,2.0,GUSCIO
COLOMBIA,1.0,PIATTO SEPARATORE
POLAND,1.0,PIATTO SEPARATORE
AFGHANISTAN,0.0,PIATTO SEPARATORE
ALBANIA,0.0,PIATTO SEPARATORE
ALGERIA,0.0,PIATTO SEPARATORE
JAMAICA,4.0,SETTORE DENTATO RETTANGOLARE
MEXICO,4.0,SETTORE DENTATO RETTANGOLARE
COLOMBIA,2.0,SETTORE DENTATO RETTANGOLARE
AFGHANISTAN,0.0,SETTORE DENTATO RETTANGOLARE
ALBANIA,0.0,SETTORE DENTATO RETTANGOLARE
Qatar,13.0,CONNETTORE CABLATO
Sweden,3.0,CONNETTORE CABLATO
COSTA RICA,2.0,CONNETTORE CABLATO
Germany,2.0,CONNETTORE CABLATO
JAMAICA,2.0,CONNETTORE CABLATO
Dominican Republic,26.0,GRUPPO SUPPORTO
USA,15.0,GRUPPO SUPPORTO
MEXICO,12.0,GRUPPO SUPPORTO
Kuwait,5.0,GRUPPO SUPPORTO
ZIMBABWE,2.0,GRUPPO SUPPORTO
COSTA RICA,216.0,PRESA PREFORME 29 Snap-on
ALGERIA,128.0,PRESA PREFORME 29 Snap-on
MEXICO,42.0,PRESA PREFORME 29 Snap-on
Iraq,20.0,PRESA PREFORME 29 Snap-on
Madagascar,20.0,PRESA PREFORME 29 Snap-on
Cape Verde,104.0,ASTA
MEXICO,8.0,ASTA
Sweden,8.0,ASTA
PHILIPPINES,6.0,ASTA
POLAND,5.0,ASTA
Cape Verde,25.0,AW-6060 ANTICORODAL T6 ESTRUSO
Sudan,21.0,AW-6060 ANTICORODAL T6 ESTRUSO
MOROCCO,10.0,AW-6060 ANTICORODAL T6 ESTRUSO
UKRAINE,5.0,AW-6060 ANTICORODAL T6 ESTRUSO
AFGHANISTAN,0.0,AW-6060 ANTICORODAL T6 ESTRUSO
Cape Verde,55.0,FORCELLA
MALAYSIA,2.0,FORCELLA
MEXICO,2.0,FORCELLA
THAILAND,2.0,FORCELLA
India,1.0,FORCELLA
UGANDA,111.0,GRUPPO MANDRINO PASSO 40
Lithuania,29.0,GRUPPO MANDRINO PASSO 40
Sweden,28.0,GRUPPO MANDRINO PASSO 40
ALGERIA,20.0,GRUPPO MANDRINO PASSO 40
MALDIVES,18.0,GRUPPO MANDRINO PASSO 40
Cape Verde,52.0,LISTELLO
PHILIPPINES,4.0,LISTELLO
UNITED KINGDOM,2.0,LISTELLO
AFGHANISTAN,0.0,LISTELLO
ALBANIA,0.0,LISTELLO
Qatar,6.0,PISTONE
Cape Verde,1.0,PISTONE
South Korea,1.0,PISTONE
AFGHANISTAN,0.0,PISTONE
ALBANIA,0.0,PISTONE
Cape Verde,5.1,PVC FLESSIBILE TRASPARENTE
YEMEN,5.1,PVC FLESSIBILE TRASPARENTE
AFGHANISTAN,0.0,PVC FLESSIBILE TRASPARENTE
ALBANIA,0.0,PVC FLESSIBILE TRASPARENTE
ALGERIA,0.0,PVC FLESSIBILE TRASPARENTE
