COUNTRY,QTA_ORDINATA_TOTALE,DESCRIZIONE1
ZAMBIA,4.0,DADO SPECIALE
MEXICO,3.0,DADO SPECIALE
AFGHANISTAN,0.0,DADO SPECIALE
Saudi Arabia,13.0,CAMERA D'ASPIRAZIONE
Jordan,2.0,CAMERA D'ASPIRAZIONE
AFGHANISTAN,0.0,CAMERA D'ASPIRAZIONE
ALBANIA,0.0,CAMERA D'ASPIRAZIONE
ALGERIA,0.0,CAMERA D'ASPIRAZIONE
JAPAN,55.0,GOMMA POLISILOSSANICA GOFFRATA
AFGHANISTAN,0.0,GOMMA POLISILOSSANICA GOFFRATA
ALBANIA,0.0,GOMMA POLISILOSSANICA GOFFRATA
ALGERIA,0.0,GOMMA POLISILOSSANICA GOFFRATA
ANDORRA,0.0,GOMMA POLISILOSSANICA GOFFRATA
KENYA,1.0,GRUPPO DISCESA PREFORME
AFGHANISTAN,0.0,GRUPPO DISCESA PREFORME
ALBANIA,0.0,GRUPPO DISCESA PREFORME
ALGERIA,0.0,GRUPPO DISCESA PREFORME
ANDORRA,0.0,GRUPPO DISCESA PREFORME
ROMANIA,4.0,GRUPPO STELLE INGRESSO PASSO 40
KENYA,2.0,GRUPPO STELLE INGRESSO PASSO 40
AFGHANISTAN,0.0,GRUPPO STELLE INGRESSO PASSO 40
ALBANIA,0.0,GRUPPO STELLE INGRESSO PASSO 40
ALGERIA,0.0,GRUPPO STELLE INGRESSO PASSO 40
MALAYSIA,21.0,CUSCINETTO ORIENTABILE SFERE
KYRGYZSTAN,10.0,CUSCINETTO ORIENTABILE SFERE
AFGHANISTAN,0.0,CUSCINETTO ORIENTABILE SFERE
ALBANIA,0.0,CUSCINETTO ORIENTABILE SFERE
ALGERIA,0.0,CUSCINETTO ORIENTABILE SFERE
MEXICO,3.0,TOUCH SCREEN ROHS
POLAND,2.0,TOUCH SCREEN ROHS
South Korea,1.0,TOUCH SCREEN ROHS
AFGHANISTAN,0.0,TOUCH SCREEN ROHS
ALBANIA,0.0,TOUCH SCREEN ROHS
MEXICO,4.0,GRUPPO DISTRIBUTORE
TURKEY,4.0,GRUPPO DISTRIBUTORE
Kuwait,2.0,GRUPPO DISTRIBUTORE
Saudi Arabia,2.0,GRUPPO DISTRIBUTORE
MOROCCO,1.0,GRUPPO DISTRIBUTORE
Lebanon,1.0,GRUPPO ELETTROVALVOLA WP
TAIWAN R.O.C.,1.0,GRUPPO ELETTROVALVOLA WP
AFGHANISTAN,0.0,GRUPPO ELETTROVALVOLA WP
ALBANIA,0.0,GRUPPO ELETTROVALVOLA WP
ALGERIA,0.0,GRUPPO ELETTROVALVOLA WP
Libya,5.0,PIASTRA DI PASSAGGIO
AFGHANISTAN,0.0,PIASTRA DI PASSAGGIO
ALBANIA,0.0,PIASTRA DI PASSAGGIO
ALGERIA,0.0,PIASTRA DI PASSAGGIO
ANDORRA,0.0,PIASTRA DI PASSAGGIO
MOROCCO,4.0,DX52D+Z TRAFILATO
UGANDA,3.0,DX52D+Z TRAFILATO
YEMEN,2.0,DX52D+Z TRAFILATO
AFGHANISTAN,0.0,DX52D+Z TRAFILATO
ALBANIA,0.0,DX52D+Z TRAFILATO
MOROCCO,1.0,GRUPPO BANCALE
AFGHANISTAN,0.0,GRUPPO BANCALE
ALBANIA,0.0,GRUPPO BANCALE
ALGERIA,0.0,GRUPPO BANCALE
ANDORRA,0.0,GRUPPO BANCALE
MOROCCO,3.0,GRUPPO MANDRINO PASSO 100
AFGHANISTAN,0.0,GRUPPO MANDRINO PASSO 100
ALBANIA,0.0,GRUPPO MANDRINO PASSO 100
ALGERIA,0.0,GRUPPO MANDRINO PASSO 100
ANDORRA,0.0,GRUPPO MANDRINO PASSO 100
MOROCCO,1.0,INTERBLOCCO MECCANICO
AFGHANISTAN,0.0,INTERBLOCCO MECCANICO
ALBANIA,0.0,INTERBLOCCO MECCANICO
ALGERIA,0.0,INTERBLOCCO MECCANICO
ANDORRA,0.0,INTERBLOCCO MECCANICO
MOROCCO,1.0,MOTOVARIATORE
AFGHANISTAN,0.0,MOTOVARIATORE
ALBANIA,0.0,MOTOVARIATORE
ALGERIA,0.0,MOTOVARIATORE
ANDORRA,0.0,MOTOVARIATORE
MOROCCO,16.0,PINZA DX (PCO Standard Ř25 H5)
AFGHANISTAN,0.0,PINZA DX (PCO Standard Ř25 H5)
ALBANIA,0.0,PINZA DX (PCO Standard Ř25 H5)
ALGERIA,0.0,PINZA DX (PCO Standard Ř25 H5)
ANDORRA,0.0,PINZA DX (PCO Standard Ř25 H5)
MOROCCO,16.0,PINZA SX (PCO Standard Ř25 H5)
AFGHANISTAN,0.0,PINZA SX (PCO Standard Ř25 H5)
ALBANIA,0.0,PINZA SX (PCO Standard Ř25 H5)
ALGERIA,0.0,PINZA SX (PCO Standard Ř25 H5)
ANDORRA,0.0,PINZA SX (PCO Standard Ř25 H5)
RUSSIAN FEDERATION,4.0,SUPPORTO TONDO
Madagascar,2.0,SUPPORTO TONDO
AFGHANISTAN,0.0,SUPPORTO TONDO
ALBANIA,0.0,SUPPORTO TONDO
ALGERIA,0.0,SUPPORTO TONDO
MALDIVES,2.0,ISOLANTE FONOASSORBENTE
AFGHANISTAN,0.0,ISOLANTE FONOASSORBENTE
ALBANIA,0.0,ISOLANTE FONOASSORBENTE
ALGERIA,0.0,ISOLANTE FONOASSORBENTE
ANDORRA,0.0,ISOLANTE FONOASSORBENTE
MEXICO,1.0,CAPPUCCIO SGANCIO PREF. 38mm - 3P
AFGHANISTAN,0.0,CAPPUCCIO SGANCIO PREF. 38mm - 3P
ALBANIA,0.0,CAPPUCCIO SGANCIO PREF. 38mm - 3P
ALGERIA,0.0,CAPPUCCIO SGANCIO PREF. 38mm - 3P
ANDORRA,0.0,CAPPUCCIO SGANCIO PREF. 38mm - 3P
MEXICO,21.0,CENTRALINA GAS
AFGHANISTAN,0.0,CENTRALINA GAS
ALBANIA,0.0,CENTRALINA GAS
ALGERIA,0.0,CENTRALINA GAS
ANDORRA,0.0,CENTRALINA GAS
MEXICO,18.0,CONNETTORE A CRIMPARE ROHS
AFGHANISTAN,0.0,CONNETTORE A CRIMPARE ROHS
ALBANIA,0.0,CONNETTORE A CRIMPARE ROHS
ALGERIA,0.0,CONNETTORE A CRIMPARE ROHS
ANDORRA,0.0,CONNETTORE A CRIMPARE ROHS
MEXICO,11.0,ELETTRODO
AFGHANISTAN,0.0,ELETTRODO
ALBANIA,0.0,ELETTRODO
ALGERIA,0.0,ELETTRODO
ANDORRA,0.0,ELETTRODO
MEXICO,1.0,GRUPPO BORDO FORNO
AFGHANISTAN,0.0,GRUPPO BORDO FORNO
ALBANIA,0.0,GRUPPO BORDO FORNO
ALGERIA,0.0,GRUPPO BORDO FORNO
ANDORRA,0.0,GRUPPO BORDO FORNO
MEXICO,6.0,GRUPPO MODULO RAFFREDDAMENTO
AFGHANISTAN,0.0,GRUPPO MODULO RAFFREDDAMENTO
ALBANIA,0.0,GRUPPO MODULO RAFFREDDAMENTO
ALGERIA,0.0,GRUPPO MODULO RAFFREDDAMENTO
ANDORRA,0.0,GRUPPO MODULO RAFFREDDAMENTO
MEXICO,1.0,GRUPPO STELLE INGRESSO
AFGHANISTAN,0.0,GRUPPO STELLE INGRESSO
ALBANIA,0.0,GRUPPO STELLE INGRESSO
ALGERIA,0.0,GRUPPO STELLE INGRESSO
ANDORRA,0.0,GRUPPO STELLE INGRESSO
MEXICO,18.0,GRUPPO STRUTTURA FORNO
NICARAGUA,6.0,GRUPPO STRUTTURA FORNO
Norway,2.0,GRUPPO STRUTTURA FORNO
AFGHANISTAN,0.0,GRUPPO STRUTTURA FORNO
ALBANIA,0.0,GRUPPO STRUTTURA FORNO
MEXICO,9.0,GRUPPO TRASMISSIONE BRUSHLESS
MALAYSIA,2.0,GRUPPO TRASMISSIONE BRUSHLESS
TUNISIA,2.0,GRUPPO TRASMISSIONE BRUSHLESS
AFGHANISTAN,0.0,GRUPPO TRASMISSIONE BRUSHLESS
ALBANIA,0.0,GRUPPO TRASMISSIONE BRUSHLESS
MEXICO,1.0,PRESA PREFORME (26.8 Snap-on)
AFGHANISTAN,0.0,PRESA PREFORME (26.8 Snap-on)
ALBANIA,0.0,PRESA PREFORME (26.8 Snap-on)
ALGERIA,0.0,PRESA PREFORME (26.8 Snap-on)
ANDORRA,0.0,PRESA PREFORME (26.8 Snap-on)
MEXICO,5.0,PRESA PREFORME 38mm
AFGHANISTAN,0.0,PRESA PREFORME 38mm
ALBANIA,0.0,PRESA PREFORME 38mm
ALGERIA,0.0,PRESA PREFORME 38mm
ANDORRA,0.0,PRESA PREFORME 38mm
MEXICO,4.0,SISTEMA IDRAULICO MACCHINA
AFGHANISTAN,0.0,SISTEMA IDRAULICO MACCHINA
ALBANIA,0.0,SISTEMA IDRAULICO MACCHINA
ALGERIA,0.0,SISTEMA IDRAULICO MACCHINA
ANDORRA,0.0,SISTEMA IDRAULICO MACCHINA
MEXICO,18.0,SNODO
MALAYSIA,2.0,SNODO
AFGHANISTAN,0.0,SNODO
ALBANIA,0.0,SNODO
ALGERIA,0.0,SNODO
MEXICO,8.0,SUPPORTO SELF-LUBE
AFGHANISTAN,0.0,SUPPORTO SELF-LUBE
ALBANIA,0.0,SUPPORTO SELF-LUBE
ALGERIA,0.0,SUPPORTO SELF-LUBE
ANDORRA,0.0,SUPPORTO SELF-LUBE
MALAYSIA,13.0,PRIGIONIERO
AFGHANISTAN,0.0,PRIGIONIERO
ALBANIA,0.0,PRIGIONIERO
ALGERIA,0.0,PRIGIONIERO
ANDORRA,0.0,PRIGIONIERO
USA,30.0,ROSETTA DENTELLATA
TUNISIA,20.0,ROSETTA DENTELLATA
MALAYSIA,8.0,ROSETTA DENTELLATA
AFGHANISTAN,0.0,ROSETTA DENTELLATA
ALBANIA,0.0,ROSETTA DENTELLATA
Mozambique,2.0,GRUPPO PACCHI INCOLL.
AFGHANISTAN,0.0,GRUPPO PACCHI INCOLL.
ALBANIA,0.0,GRUPPO PACCHI INCOLL.
ALGERIA,0.0,GRUPPO PACCHI INCOLL.
ANDORRA,0.0,GRUPPO PACCHI INCOLL.
Mozambique,3.0,GRUPPO USCITA ROTOTRASLATORE
AFGHANISTAN,0.0,GRUPPO USCITA ROTOTRASLATORE
ALBANIA,0.0,GRUPPO USCITA ROTOTRASLATORE
ALGERIA,0.0,GRUPPO USCITA ROTOTRASLATORE
ANDORRA,0.0,GRUPPO USCITA ROTOTRASLATORE
Mozambique,6.0,MOZZO ESAGONALE
USA,1.0,MOZZO ESAGONALE
AFGHANISTAN,0.0,MOZZO ESAGONALE
ALBANIA,0.0,MOZZO ESAGONALE
ALGERIA,0.0,MOZZO ESAGONALE
NIGER,8.0,ADATTATORE
AFGHANISTAN,0.0,ADATTATORE
ALBANIA,0.0,ADATTATORE
ALGERIA,0.0,ADATTATORE
ANDORRA,0.0,ADATTATORE
Norway,8.0,CABLAGGIO
AFGHANISTAN,0.0,CABLAGGIO
ALBANIA,0.0,CABLAGGIO
ALGERIA,0.0,CABLAGGIO
ANDORRA,0.0,CABLAGGIO
Norway,32.0,CALOTTA
Slovakia,8.0,CALOTTA
AFGHANISTAN,0.0,CALOTTA
ALBANIA,0.0,CALOTTA
ALGERIA,0.0,CALOTTA
PHILIPPINES,4.0,CONTROLLO
AFGHANISTAN,0.0,CONTROLLO
ALBANIA,0.0,CONTROLLO
ALGERIA,0.0,CONTROLLO
ANDORRA,0.0,CONTROLLO
POLAND,4.0,GRUPPO BANCALE INGRESSO
AFGHANISTAN,0.0,GRUPPO BANCALE INGRESSO
ALBANIA,0.0,GRUPPO BANCALE INGRESSO
ALGERIA,0.0,GRUPPO BANCALE INGRESSO
ANDORRA,0.0,GRUPPO BANCALE INGRESSO
Portugal,58880.0,AISI304 (X5CrNi1810) BA
AFGHANISTAN,0.0,AISI304 (X5CrNi1810) BA
ALBANIA,0.0,AISI304 (X5CrNi1810) BA
ALGERIA,0.0,AISI304 (X5CrNi1810) BA
ANDORRA,0.0,AISI304 (X5CrNi1810) BA
ROMANIA,112.0,DISTANZIALE ASTA DI STIRO
AFGHANISTAN,0.0,DISTANZIALE ASTA DI STIRO
ALBANIA,0.0,DISTANZIALE ASTA DI STIRO
ALGERIA,0.0,DISTANZIALE ASTA DI STIRO
ANDORRA,0.0,DISTANZIALE ASTA DI STIRO
USA,4.0,GRUPPO ALBERI P.BOBINA
ROMANIA,3.0,GRUPPO ALBERI P.BOBINA
AFGHANISTAN,0.0,GRUPPO ALBERI P.BOBINA
ALBANIA,0.0,GRUPPO ALBERI P.BOBINA
ALGERIA,0.0,GRUPPO ALBERI P.BOBINA
ROMANIA,2.0,GRUPPO ROTOTRASLATORE
AFGHANISTAN,0.0,GRUPPO ROTOTRASLATORE
ALBANIA,0.0,GRUPPO ROTOTRASLATORE
ALGERIA,0.0,GRUPPO ROTOTRASLATORE
ANDORRA,0.0,GRUPPO ROTOTRASLATORE
ROMANIA,1.0,GRUPPO TRASPORTO
AFGHANISTAN,0.0,GRUPPO TRASPORTO
ALBANIA,0.0,GRUPPO TRASPORTO
ALGERIA,0.0,GRUPPO TRASPORTO
ANDORRA,0.0,GRUPPO TRASPORTO
ROMANIA,2.0,VUOTOMETRO
AFGHANISTAN,0.0,VUOTOMETRO
ALBANIA,0.0,VUOTOMETRO
ALGERIA,0.0,VUOTOMETRO
ANDORRA,0.0,VUOTOMETRO
Serbia,50.0,PRESA PREFORME (29 Snap-on)
UKRAINE,40.0,PRESA PREFORME (29 Snap-on)
AFGHANISTAN,0.0,PRESA PREFORME (29 Snap-on)
ALBANIA,0.0,PRESA PREFORME (29 Snap-on)
ALGERIA,0.0,PRESA PREFORME (29 Snap-on)
RUSSIAN FEDERATION,3.0,SCHEDA INCOMPLETA ROHS
THAILAND,1.0,SCHEDA INCOMPLETA ROHS
AFGHANISTAN,0.0,SCHEDA INCOMPLETA ROHS
ALBANIA,0.0,SCHEDA INCOMPLETA ROHS
ALGERIA,0.0,SCHEDA INCOMPLETA ROHS
Saudi Arabia,4.0,GRUPPO ELEVATORE PREFORME
AFGHANISTAN,0.0,GRUPPO ELEVATORE PREFORME
ALBANIA,0.0,GRUPPO ELEVATORE PREFORME
ALGERIA,0.0,GRUPPO ELEVATORE PREFORME
ANDORRA,0.0,GRUPPO ELEVATORE PREFORME
Saudi Arabia,4.0,GRUPPO TRAMOGGIA
AFGHANISTAN,0.0,GRUPPO TRAMOGGIA
ALBANIA,0.0,GRUPPO TRAMOGGIA
ALGERIA,0.0,GRUPPO TRAMOGGIA
ANDORRA,0.0,GRUPPO TRAMOGGIA
Saudi Arabia,2.0,GRUPPO VALVOLE
AFGHANISTAN,0.0,GRUPPO VALVOLE
ALBANIA,0.0,GRUPPO VALVOLE
ALGERIA,0.0,GRUPPO VALVOLE
ANDORRA,0.0,GRUPPO VALVOLE
Saudi Arabia,28.0,MANDRINO SINGOLO PASSO 80
AFGHANISTAN,0.0,MANDRINO SINGOLO PASSO 80
ALBANIA,0.0,MANDRINO SINGOLO PASSO 80
ALGERIA,0.0,MANDRINO SINGOLO PASSO 80
ANDORRA,0.0,MANDRINO SINGOLO PASSO 80
South Africa,2.0,STERILIZZATORE
Saudi Arabia,1.0,STERILIZZATORE
AFGHANISTAN,0.0,STERILIZZATORE
ALBANIA,0.0,STERILIZZATORE
ALGERIA,0.0,STERILIZZATORE
Sudan,1.0,GRUPPO STELLE INGRESSO PASSO 50
AFGHANISTAN,0.0,GRUPPO STELLE INGRESSO PASSO 50
ALBANIA,0.0,GRUPPO STELLE INGRESSO PASSO 50
ALGERIA,0.0,GRUPPO STELLE INGRESSO PASSO 50
ANDORRA,0.0,GRUPPO STELLE INGRESSO PASSO 50
Senegal,9.0,TESTINA
URUGUAY,3.0,TESTINA
AFGHANISTAN,0.0,TESTINA
ALBANIA,0.0,TESTINA
ALGERIA,0.0,TESTINA
THAILAND,1.0,PULSANTE TH ROHS
AFGHANISTAN,0.0,PULSANTE TH ROHS
ALBANIA,0.0,PULSANTE TH ROHS
ALGERIA,0.0,PULSANTE TH ROHS
ANDORRA,0.0,PULSANTE TH ROHS
TURKEY,10.0,CONNETTORE A PERF. ISOLANTE ROHS
AFGHANISTAN,0.0,CONNETTORE A PERF. ISOLANTE ROHS
ALBANIA,0.0,CONNETTORE A PERF. ISOLANTE ROHS
ALGERIA,0.0,CONNETTORE A PERF. ISOLANTE ROHS
ANDORRA,0.0,CONNETTORE A PERF. ISOLANTE ROHS
TURKEY,1.0,GRUPPO STELLE INGRESSO PASSO 80
AFGHANISTAN,0.0,GRUPPO STELLE INGRESSO PASSO 80
ALBANIA,0.0,GRUPPO STELLE INGRESSO PASSO 80
ALGERIA,0.0,GRUPPO STELLE INGRESSO PASSO 80
ANDORRA,0.0,GRUPPO STELLE INGRESSO PASSO 80
TURKEY,611.0,PRESA PREFORME 32/28 Snap-on
AFGHANISTAN,0.0,PRESA PREFORME 32/28 Snap-on
ALBANIA,0.0,PRESA PREFORME 32/28 Snap-on
ALGERIA,0.0,PRESA PREFORME 32/28 Snap-on
ANDORRA,0.0,PRESA PREFORME 32/28 Snap-on
TAIWAN R.O.C.,24.0,AISI304 (X5CrNi1810) LAMINATO
AFGHANISTAN,0.0,AISI304 (X5CrNi1810) LAMINATO
ALBANIA,0.0,AISI304 (X5CrNi1810) LAMINATO
ALGERIA,0.0,AISI304 (X5CrNi1810) LAMINATO
ANDORRA,0.0,AISI304 (X5CrNi1810) LAMINATO
TAIWAN R.O.C.,5.0,GRUPPO ALBERO AFFIANCAMENTO
AFGHANISTAN,0.0,GRUPPO ALBERO AFFIANCAMENTO
ALBANIA,0.0,GRUPPO ALBERO AFFIANCAMENTO
ALGERIA,0.0,GRUPPO ALBERO AFFIANCAMENTO
ANDORRA,0.0,GRUPPO ALBERO AFFIANCAMENTO
UGANDA,2.0,EVAPORATORE
AFGHANISTAN,0.0,EVAPORATORE
ALBANIA,0.0,EVAPORATORE
ALGERIA,0.0,EVAPORATORE
ANDORRA,0.0,EVAPORATORE
USA,1.0,AGGIUNTA QUADRO MACCHINA
AFGHANISTAN,0.0,AGGIUNTA QUADRO MACCHINA
ALBANIA,0.0,AGGIUNTA QUADRO MACCHINA
ALGERIA,0.0,AGGIUNTA QUADRO MACCHINA
ANDORRA,0.0,AGGIUNTA QUADRO MACCHINA
USA,51.0,COPIGLIA ELASTICA
AFGHANISTAN,0.0,COPIGLIA ELASTICA
ALBANIA,0.0,COPIGLIA ELASTICA
ALGERIA,0.0,COPIGLIA ELASTICA
ANDORRA,0.0,COPIGLIA ELASTICA
USA,1.0,PROGRAMMA
AFGHANISTAN,0.0,PROGRAMMA
ALBANIA,0.0,PROGRAMMA
ALGERIA,0.0,PROGRAMMA
ANDORRA,0.0,PROGRAMMA
USA,3.0,RICAMBIO
AFGHANISTAN,0.0,RICAMBIO
ALBANIA,0.0,RICAMBIO
ALGERIA,0.0,RICAMBIO
ANDORRA,0.0,RICAMBIO
VIETNAM,1.0,LISTA CAVI
AFGHANISTAN,0.0,LISTA CAVI
ALBANIA,0.0,LISTA CAVI
ALGERIA,0.0,LISTA CAVI
ANDORRA,0.0,LISTA CAVI
VIETNAM,6.0,MODULO PROG.
AFGHANISTAN,0.0,MODULO PROG.
ALBANIA,0.0,MODULO PROG.
ALGERIA,0.0,MODULO PROG.
ANDORRA,0.0,MODULO PROG.
KOSOVO,5.0,MAGNETE PERMANETE
AFGHANISTAN,0.0,MAGNETE PERMANETE
ALBANIA,0.0,MAGNETE PERMANETE
ALGERIA,0.0,MAGNETE PERMANETE
ANDORRA,0.0,MAGNETE PERMANETE
