index,PERIODO,COUNTRY,UNITA_MISURA,QTA_ORDINATA,QTA_EVASA,MAX_ORDER_MONTH,DELTA
12172,2019-02,AFGHANISTAN,MT,12192.0,6096.0,2,6096.0
12173,2019-02,AFGHANISTAN,N,1364.0,631.0,2,733.0
64592,2023-10,ALBANIA,LT,5.0,5.0,10,0.0
11242,2019-01,ALBANIA,MT,9144.0,9144.0,1,0.0
10307,2018-12,ALBANIA,N,238.0,238.0,12,0.0
53368,2022-10,ALGERIA,MT,28531.111328125,24399.0,10,4132.111328125
40265,2021-08,ALGERIA,N,10700.0,7867.0,8,2833.0
29039,2020-08,ANDORRA,N,26.0,0.0,8,26.0
42149,2021-10,ANTIGUA AND BARBUDA,N,1610.0,1610.0,10,0.0
28114,2020-07,AUSTRALIA,MT,45785.296875,45777.3,7,7.99687499999709
59003,2023-04,AUSTRALIA,N,5352.0,2694.0,4,2658.0
41222,2021-09,AUSTRIA,LT,5.0,5.0,9,0.0
51520,2022-08,AUSTRIA,MT,46.7265625,46.72,8,0.006562500000001137
58073,2023-03,AUSTRIA,N,1281.0,1223.0,3,58.0
15020,2019-05,Angola (including Cabinda),LT,10.0,0.0,5,10.0
45910,2022-02,Angola (including Cabinda),MT,33.859375,33.86,2,-0.0006249999999994316
26255,2020-05,Angola (including Cabinda),N,2647.0,2374.0,5,273.0
31874,2020-11,Argentina,LT,5.0,5.0,11,0.0
48724,2022-05,Argentina,MT,88414.8984375,88422.9,5,-8.00156249999418
15029,2019-05,Argentina,N,2654.0,2654.0,5,0.0
58090,2023-03,Armenia,MT,2.0,2.0,3,0.0
44051,2021-12,Armenia,N,306.0,306.0,12,0.0
998,2018-02,Azerbaijan,LT,100.0,0.0,2,100.0
57160,2023-02,Azerbaijan,MT,24384.0,24384.0,2,0.0
60905,2023-06,Azerbaijan,N,1176.0,1176.0,6,0.0
59974,2023-05,BAHRAIN,MT,12192.0,12192.0,5,0.0
25343,2020-04,BAHRAIN,N,460.0,436.0,4,24.0
50620,2022-07,BANGLADESH,MT,78.419921875,78.42,7,-7.81250000017053e-05
50621,2022-07,BANGLADESH,N,1606.0,1606.0,7,0.0
1954,2018-03,Belarus,MT,3048.0,3048.0,3,0.0
4763,2018-06,Belarus,N,1566.0,1565.0,6,1.0
8512,2018-10,Belgium,MT,11.5,11.5,10,0.0
89,2018-01,Belgium,N,1291.0,721.0,1,570.0
50638,2022-07,Benin,MT,10.0,10.0,7,0.0
50639,2022-07,Benin,N,248.0,248.0,7,0.0
3842,2018-05,Bolivia,LT,40.0,40.0,5,0.0
5716,2018-07,Bolivia,MT,12202.296875,12202.3,7,-0.0031249999992724042
46901,2022-03,Bolivia,N,817.0,817.0,3,0.0
4784,2018-06,Bosnia and Herzegovina,LT,10.0,10.0,6,0.0
28186,2020-07,Bosnia and Herzegovina,MT,2263.361328125,2263.36,7,0.0013281249998726707
16019,2019-06,Bosnia and Herzegovina,N,659.0,658.0,6,1.0
35678,2021-03,Brazil,LT,10.0,10.0,3,0.0
61888,2023-07,Brazil,MT,39621.0,39629.0,7,-8.0
13217,2019-03,Brazil,N,2869.0,2869.0,3,0.0
54406,2022-11,Bulgaria,MT,1.0,1.0,11,0.0
40367,2021-08,Bulgaria,N,2004.0,2004.0,8,0.0
31010,2020-10,CANADA,LT,10.0,10.0,10,0.0
16972,2019-07,CANADA,MT,45750.279296875,45757.28,7,-7.000703124998836
15101,2019-05,CANADA,N,1312.0,868.0,5,444.0
31952,2020-11,CHINA,LT,5.0,0.0,11,5.0
39442,2021-07,CHINA,MT,88437.68359375,88437.68,7,0.0035937500069849193
28211,2020-07,CHINA,N,3318.0,2647.0,7,671.0
35702,2021-03,COLOMBIA,LT,5.0,0.0,3,5.0
37576,2021-05,COLOMBIA,MT,21349.0,21341.0,5,8.0
46937,2022-03,COLOMBIA,N,6758.0,4176.0,3,2582.0
56302,2023-01,COSTA RICA,MT,15.44921875,15.45,1,-0.0007812499999992895
37583,2021-05,COSTA RICA,N,1194.0,1194.0,5,0.0
48818,2022-05,CROATIA,LT,20.0,20.0,5,0.0
45076,2022-01,CROATIA,MT,36576.0,36576.0,1,0.0
1085,2018-02,CROATIA,N,924.0,924.0,2,0.0
36658,2021-04,CYPRUS,MT,3049.0,3049.0,4,0.0
66611,2023-12,CYPRUS,N,967.0,966.0,12,1.0
52576,2022-09,Cambodia,MT,10.0,10.0,9,0.0
52577,2022-09,Cambodia,N,619.0,439.0,9,180.0
21694,2019-12,Cameroon,MT,8.5,8.5,12,0.0
48839,2022-05,Cameroon,N,822.0,450.0,5,372.0
64754,2023-10,Canary Islands,LT,5.0,0.0,10,5.0
2043,2018-03,Canary Islands,MQ,0.39990234375,0.4,3,-9.76562500000222e-05
53524,2022-10,Canary Islands,MT,85376.0,85344.0,10,32.0
50717,2022-07,Canary Islands,N,2358.0,1494.0,7,864.0
3920,2018-05,Cape Verde,LT,10.0,10.0,5,0.0
8602,2018-10,Cape Verde,MT,201168.0,201168.0,10,0.0
49787,2022-06,Cape Verde,N,4492.0,4486.0,6,6.0
60086,2023-05,Chile,LT,30.0,30.0,5,0.0
63832,2023-09,Chile,MT,85376.0,85344.0,9,32.0
43241,2021-11,Chile,N,2381.0,2381.0,11,0.0
14230,2019-04,"Congo, Republic of",MT,10656.0,10655.0,4,1.0
58223,2023-03,"Congo, Republic of",N,2351.0,1714.0,3,637.0
35764,2021-03,Czech Republic,MT,3048.0,3048.0,3,0.0
45125,2022-01,Czech Republic,N,1134.0,1110.0,1,24.0
55426,2022-12,DENMARK,MT,6097.599609375,6097.6,12,-0.0003906250003637979
32027,2020-11,DENMARK,N,1021.0,509.0,11,512.0
5824,2018-07,Democratic Rep. of the Congo,MT,12198.0,12198.0,7,0.0
48881,2022-05,Democratic Rep. of the Congo,N,1011.0,816.0,5,195.0
31098,2020-10,Dominican Republic,CF,2.0,2.0,10,0.0
33908,2021-01,Dominican Republic,LT,5.0,5.0,1,0.0
66670,2023-12,Dominican Republic,MT,48824.75,48776.0,12,48.75
19871,2019-10,Dominican Republic,N,1227.0,1227.0,10,0.0
6768,2018-08,ECUADOR,CF,5.0,5.0,8,0.0
17068,2019-07,ECUADOR,MT,51808.0,51816.0,7,-8.0
34853,2021-02,ECUADOR,N,1547.0,1547.0,2,0.0
5838,2018-07,EGYPT,CF,1.0,0.0,7,1.0
47960,2022-04,EGYPT,LT,20.0,20.0,4,0.0
26434,2020-05,EGYPT,MT,103666.0,103634.0,5,32.0
58259,2023-03,EGYPT,N,5479.0,4153.0,3,1326.0
13336,2019-03,EL SALVADOR,MT,24384.0,24384.0,3,0.0
62009,2023-07,EL SALVADOR,N,758.0,758.0,7,0.0
20831,2019-11,EQUATORIAL GUINEA,N,4.0,2.0,11,2.0
64828,2023-10,ESTONIA,MT,2.0,0.0,10,2.0
5861,2018-07,ESTONIA,N,159.0,159.0,7,0.0
19906,2019-10,ETHIOPIA,MT,54868.0,54884.0,10,-16.0
19907,2019-10,ETHIOPIA,N,1075.0,1074.0,10,1.0
58286,2023-03,FINLAND,LT,10.0,10.0,3,0.0
43312,2021-11,FINLAND,MT,3.900390625,3.9,11,0.0003906250000000888
52673,2022-09,FINLAND,N,223.0,202.0,9,21.0
25530,2020-04,FRANCE,CF,2.0,2.0,4,0.0
2134,2018-03,FRANCE,MT,131071.0,54868.0,3,76203.0
14303,2019-04,FRANCE,N,1850.0,927.0,4,923.0
33029,2020-12,French Guiana,N,69.0,69.0,12,0.0
51755,2022-08,French Polynesia,N,40.0,40.0,8,0.0
57374,2023-02,GEORGIA,LT,5.0,5.0,2,0.0
38656,2021-06,GEORGIA,MT,27441.0,27433.0,6,8.0
56441,2023-01,GEORGIA,N,3113.0,2360.0,1,753.0
16196,2019-06,GIBUTI,LT,5.0,5.0,6,0.0
21814,2019-12,GIBUTI,MT,24.0,24.0,12,0.0
21815,2019-12,GIBUTI,N,319.0,319.0,12,0.0
17140,2019-07,GUADELOUPE,MT,1.0,0.0,7,1.0
46157,2022-02,GUADELOUPE,N,640.0,620.0,2,20.0
19014,2019-09,GUATEMALA,CF,2.0,2.0,9,0.0
7784,2018-09,GUATEMALA,LT,5.0,5.0,9,0.0
52714,2022-09,GUATEMALA,MT,30480.0,30480.0,9,0.0
39611,2021-07,GUATEMALA,N,1027.0,1027.0,7,0.0
53656,2022-10,GUYANA,MT,60.0,60.0,10,0.0
63953,2023-09,GUYANA,N,138.0,138.0,9,0.0
9668,2018-11,Germany,LT,15.0,5.0,11,10.0
22774,2020-01,Germany,MT,39618.0,39626.0,1,-8.0
23711,2020-02,Germany,N,4932.0,2895.0,2,2037.0
5932,2018-07,Ghana,MT,20.0,20.0,7,0.0
48053,2022-04,Ghana,N,1003.0,1002.0,4,1.0
17168,2019-07,Greece,LT,25.0,15.0,7,10.0
7810,2018-09,Greece,MT,24399.5,24389.5,9,10.0
57419,2023-02,Greece,N,1145.0,1104.0,2,41.0
57424,2023-02,HAITI,MT,21379.6875,21353.84,2,25.847499999999854
37769,2021-05,HAITI,N,784.0,542.0,5,242.0
22796,2020-01,HONDURAS,LT,10.0,10.0,1,0.0
57430,2023-02,HONDURAS,MT,48769.0,48769.0,2,0.0
53687,2022-10,HONDURAS,N,973.0,973.0,10,0.0
15316,2019-05,HUNGARY,MT,9144.0,9144.0,5,0.0
35909,2021-03,HUNGARY,N,739.0,728.0,3,11.0
1283,2018-02,Hong Kong,N,229.0,229.0,2,0.0
350,2018-01,ITALY,LT,10.0,10.0,1,0.0
33112,2020-12,ITALY,MT,94483.19921875,79248.0,12,15235.19921875
6905,2018-08,ITALY,N,3399.0,2962.0,8,437.0
9719,2018-11,Iceland,N,1.0,1.0,11,0.0
6914,2018-08,India,LT,5.0,0.0,8,5.0
33124,2020-12,India,MT,12201.0,12192.0,12,9.0
65885,2023-11,India,N,1018.0,1017.0,11,1.0
46234,2022-02,Indonesia,MT,18307.591796875,18307.589999999997,2,0.0017968750034924597
20963,2019-11,Indonesia,N,650.0,650.0,11,0.0
55598,2022-12,Iraq,LT,20.0,20.0,12,0.0
23776,2020-02,Iraq,MT,51819.0,51826.0,2,-7.0
64961,2023-10,Iraq,N,8314.0,4860.0,10,3454.0
26588,2020-05,Ireland,LT,10.0,10.0,5,0.0
4126,2018-05,Ireland,MT,9146.0,9146.0,5,0.0
15359,2019-05,Ireland,N,560.0,560.0,5,0.0
29400,2020-08,Islamic Republic of Iran,CF,1.0,0.0,8,1.0
56546,2023-01,Islamic Republic of Iran,LT,10.0,0.0,1,10.0
29404,2020-08,Islamic Republic of Iran,MT,21354.0,21336.0,8,18.0
20045,2019-10,Islamic Republic of Iran,N,9988.0,6088.0,10,3900.0
13496,2019-03,Israel,LT,15.0,15.0,3,0.0
25666,2020-04,Israel,MT,6115.25,6115.25,4,0.0
47195,2022-03,Israel,N,838.0,775.0,3,63.0
53752,2022-10,Ivory Coast,MT,5268.98046875,5267.9800000000005,10,1.000468749999527
56561,2023-01,Ivory Coast,N,1606.0,855.0,1,751.0
41588,2021-09,JAMAICA,LT,15.0,15.0,9,0.0
42526,2021-10,JAMAICA,MT,42704.0,42688.0,10,16.0
64055,2023-09,JAMAICA,N,2583.0,2078.0,9,505.0
45338,2022-01,JAPAN,LT,10.0,5.0,1,5.0
49084,2022-05,JAPAN,MT,37.484375,37.480000000000004,5,0.004374999999996021
11645,2019-01,JAPAN,N,3586.0,1332.0,1,2254.0
21944,2019-12,Jordan,LT,40.0,40.0,12,0.0
31306,2020-10,Jordan,MT,52681.69140625,52592.0,10,89.69140625
21947,2019-12,Jordan,N,2929.0,2725.0,12,204.0
25696,2020-04,KENYA,MT,33537.0,33529.0,4,8.0
39737,2021-07,KENYA,N,2179.0,1272.0,7,907.0
8854,2018-10,KOSOVO,MT,9.5,9.5,10,0.0
27575,2020-06,KOSOVO,N,768.0,768.0,6,0.0
4180,2018-05,KYRGYZSTAN,MT,27424.0,27432.0,5,-8.0
46301,2022-02,KYRGYZSTAN,N,484.0,484.0,2,0.0
56602,2023-01,Kazakhstan,MT,33536.0,33528.0,1,8.0
15419,2019-05,Kazakhstan,N,1303.0,1301.0,5,2.0
6064,2018-07,Kuwait,MT,131053.5,51817.0,7,79236.5
23849,2020-02,Kuwait,N,1130.0,1025.0,2,105.0
52870,2022-09,"Lao, People's Dem. Rep.",MT,18298.6484375,18298.65,9,-0.0015625000014551915
66911,2023-12,"Lao, People's Dem. Rep.",N,545.0,545.0,12,0.0
65044,2023-10,Latvia,MT,36576.0,36576.0,10,0.0
30413,2020-09,Latvia,N,665.0,659.0,9,6.0
14506,2019-04,Lebanon,MT,100636.484375,27440.0,4,73196.484375
27611,2020-06,Lebanon,N,1334.0,1288.0,6,46.0
6089,2018-07,Liberia,N,18.0,18.0,7,0.0
3284,2018-04,Libya,LT,30.0,10.0,4,20.0
57574,2023-02,Libya,MT,70134.0,48768.0,2,21366.0
66935,2023-12,Libya,N,6858.0,4677.0,12,2181.0
54772,2022-11,Lithuania,MT,18292.3984375,12196.4,11,6095.9984375
30437,2020-09,Lithuania,N,1660.0,1660.0,9,0.0
2360,2018-03,MALAYSIA,LT,5.0,5.0,3,0.0
27634,2020-06,MALAYSIA,MT,24406.0,24406.0,6,0.0
65075,2023-10,MALAYSIA,N,1200.0,1200.0,10,0.0
54784,2022-11,MALDIVES,MT,9147.30078125,9147.3,11,0.0007812500007275958
54785,2022-11,MALDIVES,N,1264.0,1264.0,11,0.0
6119,2018-07,MALI,N,2.0,1.0,7,1.0
36074,2021-03,MALTA,LT,5.0,5.0,3,0.0
66028,2023-11,MALTA,MT,60.0,60.0,11,0.0
45437,2022-01,MALTA,N,2858.0,2857.0,1,1.0
25786,2020-04,MARTINIQUE,MT,3.0,3.0,4,0.0
5195,2018-06,MARTINIQUE,N,8.0,0.0,6,8.0
8942,2018-10,MAURITIUS,LT,5.0,5.0,10,0.0
58552,2023-03,MAURITIUS,MT,24414.484375,24414.48,3,0.0043750000004365575
37961,2021-05,MAURITIUS,N,1062.0,1062.0,5,0.0
6138,2018-07,MEXICO,CF,5.0,5.0,7,0.0
21116,2019-11,MEXICO,LT,40.0,40.0,11,0.0
50134,2022-06,MEXICO,MT,91477.8984375,91461.9,6,15.99843750000582
53879,2022-10,MEXICO,N,8187.0,8187.0,10,0.0
13632,2019-03,MOROCCO,CF,20.0,20.0,3,0.0
22994,2020-01,MOROCCO,LT,20.0,20.0,1,0.0
34227,2021-01,MOROCCO,MQ,8.0,0.0,1,8.0
33292,2020-12,MOROCCO,MT,54910.484375,51816.0,12,3094.484375
54821,2022-11,MOROCCO,N,4714.0,4399.0,11,315.0
42658,2021-10,Macedonia,MT,14.150390625,14.15,10,0.00039062499999964473
9899,2018-11,Macedonia,N,469.0,469.0,11,0.0
1478,2018-02,Madagascar,LT,10.0,10.0,2,0.0
46408,2022-02,Madagascar,MT,9.140625,9.14,2,0.0006249999999994316
58577,2023-03,Madagascar,N,487.0,263.0,3,224.0
11780,2019-01,Malawi,LT,40.0,40.0,1,0.0
11782,2019-01,Malawi,MT,30.484375,30.48,1,0.004374999999999574
11783,2019-01,Malawi,N,792.0,792.0,1,0.0
42677,2021-10,Mayotte,N,188.0,188.0,10,0.0
46426,2022-02,"Moldova, Rep. of",MT,6096.0,6096.0,2,0.0
54851,2022-11,"Moldova, Rep. of",N,906.0,906.0,11,0.0
4313,2018-05,Montenegro,N,65.0,65.0,5,0.0
62350,2023-07,Mozambique,MT,105.0,105.0,7,0.0
62351,2023-07,Mozambique,N,466.0,466.0,7,0.0
54868,2022-11,Myanmar,MT,18288.0,18288.0,11,0.0
13685,2019-03,Myanmar,N,1136.0,640.0,3,496.0
50194,2022-06,NICARAGUA,MT,70162.484375,70154.48,6,8.004375000004075
9011,2018-10,NICARAGUA,N,3193.0,2738.0,10,455.0
54880,2022-11,NIGER,MT,40.0,40.0,11,0.0
65177,2023-10,NIGER,N,550.0,550.0,10,0.0
60500,2023-05,Namibia,LT,50.0,25.0,5,25.0
44590,2021-12,Namibia,MT,6096.0,6096.0,12,0.0
17447,2019-07,Namibia,N,405.0,385.0,7,20.0
19322,2019-09,Netherlands,LT,10.0,5.0,9,5.0
34300,2021-01,Netherlands,MT,21344.0,21336.0,1,8.0
51149,2022-07,Netherlands,N,254.0,189.0,7,65.0
